2017-11-04 18:07:32,1170,lowFloor,78,64,-41.2281723,174.8451080,Outbound,5000
2017-11-04 18:08:32,1170,lowFloor,54,64,-41.2236671,174.8588104,Outbound,5000
2017-11-04 18:09:02,1170,lowFloor,78,64,-41.2243881,174.8623962,Outbound,5000
2017-11-04 18:14:32,1170,lowFloor,18,-88,-41.2270927,174.8850403,Outbound,5000
2017-11-04 18:15:02,1170,lowFloor,18,-58,-41.2263718,174.8853912,Outbound,5000
2017-11-04 18:16:04,1170,lowFloor,18,-84,-41.2225876,174.8872986,Outbound,5000
2017-11-04 18:19:03,1170,lowFloor,78,-72,-41.2127686,174.8962402,Outbound,5000
2017-11-04 18:22:02,1170,lowFloor,150,-58,-41.2102470,174.9048157,Outbound,5000
2017-11-04 18:23:32,1170,lowFloor,306,-24,-41.2111473,174.9018402,Outbound,5000
2017-11-04 18:25:02,1170,lowFloor,90,-65,-41.2173615,174.9054108,Outbound,5000
2017-11-04 18:25:02,1170,lowFloor,90,-65,-41.2173615,174.9054108,Outbound,5000
2017-11-04 18:26:03,1170,lowFloor,162,-75,-41.2223167,174.9070892,Outbound,5000
2017-11-04 18:27:32,1170,lowFloor,198,-88,-41.2274513,174.9054108,Outbound,5000
2017-11-04 18:28:03,1170,lowFloor,174,-57,-41.2296143,174.9049377,Outbound,5000
2017-11-04 18:31:04,1170,lowFloor,162,-71,-41.2437592,174.9093475,Outbound,5000
2017-11-04 18:32:34,1170,lowFloor,174,-37,-41.2525864,174.9031525,Outbound,5000
2017-11-04 18:35:32,1170,lowFloor,174,-88,-41.2643890,174.9100647,Outbound,5000
2017-11-04 18:38:33,1170,lowFloor,174,-147,-41.2807846,174.9069672,Outbound,5000
2017-11-04 18:39:02,1170,lowFloor,222,-185,-41.2832184,174.9053040,Outbound,5000
2017-11-04 18:40:02,1170,lowFloor,222,-190,-41.2883530,174.9008942,Outbound,5000
2017-11-04 18:40:31,1170,lowFloor,234,-149,-41.2889824,174.8999329,Outbound,5000
2017-11-04 18:43:02,1170,lowFloor,210,-238,-41.3021355,174.8921814,Outbound,5000
2017-11-04 18:43:33,1170,lowFloor,222,-219,-41.3047485,174.8893280,Outbound,5000
2017-11-04 18:44:02,1170,lowFloor,270,-258,-41.3053780,174.8874207,Outbound,5000
2017-11-04 18:50:28,1618,lowFloor,318,1085,-41.2906952,174.7762146,Outbound,5000
2017-11-04 18:52:31,1618,lowFloor,294,1111,-41.2891617,174.7750244,Outbound,5000
2017-11-04 18:54:02,1618,lowFloor,18,1142,-41.2869110,174.7760925,Outbound,5000
2017-11-04 18:54:28,1618,lowFloor,78,1168,-41.2867317,174.7762146,Outbound,5000
2017-11-04 18:54:59,1618,lowFloor,66,1199,-41.2866402,174.7764587,Outbound,5000
2017-11-04 18:55:58,1618,lowFloor,18,1138,-41.2827682,174.7758636,Outbound,5000
2017-11-04 18:56:29,1618,lowFloor,318,1169,-41.2828560,174.7757416,Outbound,5000
2017-11-04 18:59:00,1618,lowFloor,54,1140,-41.2784424,174.7790680,Outbound,5000
2017-11-04 19:01:30,1618,lowFloor,330,1230,-41.2742996,174.7834778,Outbound,5000
2017-11-04 19:02:01,1618,lowFloor,330,1233,-41.2729454,174.7827759,Outbound,5000
2017-11-04 19:04:02,1618,lowFloor,30,1322,-41.2637596,174.7852783,Outbound,5000
2017-11-04 19:06:00,1618,lowFloor,66,1301,-41.2546577,174.7999268,Outbound,5000
2017-11-04 19:06:27,1618,lowFloor,54,1301,-41.2526779,174.8044586,Outbound,5000
2017-11-04 19:07:30,1618,lowFloor,42,1301,-41.2474518,174.8130493,Outbound,5000
2017-11-04 19:07:59,1618,lowFloor,54,1294,-41.2448387,174.8172150,Outbound,5000
2017-11-04 19:09:00,1618,lowFloor,54,1294,-41.2368202,174.8312836,Outbound,5000
2017-11-04 19:09:31,1618,lowFloor,54,1294,-41.2322273,174.8376007,Outbound,5000
2017-11-04 19:10:29,1618,lowFloor,66,1294,-41.2257423,174.8528595,Outbound,5000
2017-11-04 19:11:00,1618,lowFloor,90,1294,-41.2235794,174.8594055,Outbound,5000
2017-11-04 19:11:57,1618,lowFloor,66,1197,-41.2236671,174.8660889,Outbound,5000
2017-11-04 19:12:29,1618,lowFloor,54,1200,-41.2228584,174.8681030,Outbound,5000
2017-11-04 19:13:30,1618,lowFloor,126,1230,-41.2230377,174.8706207,Outbound,5000
2017-11-04 19:15:30,1618,lowFloor,102,1243,-41.2254715,174.8788300,Outbound,5000
2017-11-04 19:16:59,1618,lowFloor,114,1321,-41.2269135,174.8832397,Outbound,5000
2017-11-04 19:18:31,1618,lowFloor,18,1351,-41.2245712,174.8863525,Outbound,5000
2017-11-04 19:29:36,1217,lowFloor,354,0,-41.3071823,174.8846741,Inbound
2017-11-04 19:30:35,1217,lowFloor,54,5,-41.3055611,174.8865814,Inbound,8858
2017-11-04 19:31:06,1217,lowFloor,54,-10,-41.3042984,174.8899231,Inbound,8858
2017-11-04 19:33:35,1217,lowFloor,354,84,-41.2959213,174.8959961,Inbound,8858
2017-11-04 19:34:35,1217,lowFloor,18,95,-41.2921371,174.8970795,Inbound,8858
2017-11-04 19:36:06,1217,lowFloor,54,106,-41.2852898,174.9019623,Inbound,8858
2017-11-04 19:37:05,1217,lowFloor,330,125,-41.2804260,174.9067230,Inbound,8858
2017-11-04 19:39:05,1217,lowFloor,42,181,-41.2753792,174.9050598,Inbound,8858
2017-11-04 19:39:05,1217,lowFloor,42,181,-41.2753792,174.9050598,Inbound,8858
2017-11-04 19:40:04,1217,lowFloor,330,168,-41.2681732,174.9078064,Inbound,8858
2017-11-04 19:41:06,1217,lowFloor,354,167,-41.2618675,174.9086304,Inbound,8858
2017-11-04 19:43:35,1217,lowFloor,270,155,-41.2531281,174.9047089,Inbound,8858
2017-11-04 19:45:05,1217,lowFloor,342,159,-41.2470016,174.9101868,Inbound,8858
2017-11-04 19:45:05,1217,lowFloor,342,159,-41.2470016,174.9101868,Inbound,8858
2017-11-04 19:47:06,1217,lowFloor,330,216,-41.2363701,174.9057770,Inbound,8858
2017-11-04 19:49:06,1217,lowFloor,6,246,-41.2314148,174.9043427,Inbound,8858
2017-11-04 19:50:35,1217,lowFloor,6,275,-41.2276306,174.9053040,Inbound,8858
2017-11-04 19:51:36,1217,lowFloor,6,316,-41.2239380,174.9063721,Inbound,8858
2017-11-04 19:53:05,1217,lowFloor,330,230,-41.2162819,174.9026794,Inbound,8858
2017-11-04 19:54:34,1217,lowFloor,54,214,-41.2105141,174.9028015,Inbound,8858
2017-11-04 19:56:35,1217,lowFloor,198,275,-41.2101555,174.9045868,Inbound,8858
2017-11-04 19:59:35,1217,lowFloor,186,215,-41.2167320,174.8908691,Inbound,8858
2017-11-04 20:03:05,1217,lowFloor,282,185,-41.2269135,174.8832397,Inbound,8858
2017-11-04 20:06:07,1217,lowFloor,294,264,-41.2250214,174.8770447,Inbound,8858
2017-11-04 20:09:37,1217,lowFloor,246,428,-41.2245712,174.8626251,Inbound,8858
